Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforge,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,License,Number of citations,Citations per year,Verification
edgeR,https://doi.org/10.1093/bioinformatics/btp616,Differential expression,2010,Y,Y,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,33,0,0,0,0,0,2.0625,0,"1,2,3",Y,Y,Y,,N,,https://anaconda.org/bioconda/bioconductor-edger,,https://hub.docker.com/r/hdng/edger,,https://bioconductor.org/packages/edgeR/,,,N,GPL (>=2),40445,2696.333333,
PyDESeq2,https://doi.org/10.1093/bioinformatics/btad547,Differential expression,2023,N,N,Y,N,Y,N,N,Y,N,Y,Y,0,1,27,0,0,26,0,0.3333333333,9,0,0,8.666666667,"1,2,3",Y,Y,Y,https://github.com/owkin/PyDESeq2 and https://pydeseq2.readthedocs.io,N,https://github.com/owkin/PyDESeq2,https://anaconda.org/bioconda/pydeseq2,,https://hub.docker.com/r/illumination27/pydeseq2,https://pydeseq2.readthedocs.io,N,N,N,N,MIT,124,62,
BADGE,https://doi.org/10.1186/1471-2105-15-s9-s6,Differential expression,2014,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,-,N,N,N,http://www.cbil.ece.vt.edu/software.htm,Y,,,,,,,,http://www.cbil.ece.vt.edu/software.htm AND https://dlrl.ece.vt.edu/software/ (the links to badge manual and .rar file doesn't work),Y,NA due to links being broken,19,1.727272727,
DSS,https://doi.org/10.1093/biostatistics/kxs033,Differential expression,2013,N,N,Y,N,N,Y,N,N,N,N,N,0,0,0,0,1,0,0,0,0,0,0.07692307692,0,"1,2",Y,Y,N,https://bioconductor.org/packages/DSS,Y,n,n,,n,n,https://www.bioconductor.org/packages/release/bioc/html/DSS.html,n,n,Y,GPL,285,23.75,
metaRNASeq,https://doi.org/10.1186/1471-2105-15-91,Differential expression,2014,N,N,Y,N,Y,N,Y,N,N,N,Y,0,5,0,6,0,0,0,0.4166666667,0,0.5,0,0,"1,2,3",Y,Y,Y,http://cran.r-project.org/web/packages/metaRNASeq,N,,"https://anaconda.org/conda-forge/r-metarnaseq
  https://anaconda.org/bioconda/r-metarnaseq",,https://biocontainers.pro/tools/r-metarnaseq,,http://cran.r-project.org/web/packages/metaRNASeq,,,N,"GPL, GPL-2.0-or-later",168,15.27272727,
compcodeR,https://doi.org/10.1093/bioinformatics/btu324,Differential expression,2014,N,N,Y,N,Y,Y,N,N,N,N,N,0,13,0,0,23,1,0,1.083333333,0,0,1.916666667,0.08333333333,"1,2,3",Y,Y,Y,https://www.bioconductor.org/packages/release/bioc/html/compcodeR.html,N,https://github.com/csoneson/compcodeR,https://anaconda.org/bioconda/bioconductor-compcoder,,,,https://bioconductor.org/packages/release/bioc/html/compcodeR.html,,,N,"GPL3, GPL2",63,5.727272727,Yes
DSGseq,https://doi.org/10.1016/j.gene.2012.11.045,Differential expression,2013,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,http://bioinfo.au.tsinghua.edu.cn/software/degseq,Y,,,,,,,,https://web.archive.org/web/20221003112916/http://bioinfo.au.tsinghua.edu.cn/software/DSGseq/,N,N,73,6.083333333,
Corset,https://doi.org/10.1186/s13059-014-0410-6,Differential expression,2014,N,N,Y,N,Y,N,N,N,N,N,N,0,3,0,0,0,7,0,0.25,0,0,0,0.5833333333,"1,2,3",Y,Y,Y,https://code.google.com/archive/p/corset-project/,N,https://github.com/Oshlack/Corset/wiki AND https://code.google.com/archive/p/corset-project/,https://anaconda.org/bioconda/corset,,,,,,,Y,GPL3,677,61.54545455,
PoissonSeq,https://doi.org/10.1093/biostatistics/kxr031,Differential expression,2012,N,N,Y,N,Y,N,N,N,N,N,N,1,1,0,0,0,0,0.07692307692,0.07142857143,0,0,0,0,2 only,N,Y,N,https://cran.r-project.org/web/packages/PoissonSeq/index.html,Y,n,https://anaconda.org/r/r-poissonseq,,n,n,n,n,n,Y,n,465,35.76923077,
rMATS ( formerly known as RNASeq-MATS),https://doi.org/10.1073/pnas.1419161111 AND https://doi.org/10.1007/978-1-62703-514-9_10,Differential expression,2013,N,N,Y,N,Y,N,N,N,N,Y,Y,0,8,0,0,0,31,0,0.6153846154,0,0,0,2.384615385,"1,2,3",Y,Y,Y,https://rnaseq-mats.sourceforge.io/,N,rnaseq-mats.sourceforge.net AND https://github.com/Xinglab/rmats-turbo/tree/v4.3.0?tab=License-1-ov-file,https://anaconda.org/bioconda/rmats,,https://hub.docker.com/r/xinglab/rmats,,,,,Y,BDS-2-Clause License,2366,197.1666667,
Characteristic Direction,https://doi.org/10.1186/1471-2105-15-79,Differential expression,2014,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,http://www.maayanlab.net/CD,Y,,,,,,,,https://web.archive.org/web/20241208082709/https://maayanlab.net/CD/,N,N,208,18.90909091,
DESeq,https://link.springer.com/article/10.1186/gb-2010-11-10-r106,Differential expression,2010,N,N,Y,N,Y,Y,N,N,N,N,Y,0,25,0,0,1,0,0,1.5625,0,0,0.0625,0,"1,2,3",Y,Y,Y,https://bioconductor.org/packages/release/bioc/html/DESeq.html,Y,n,https://anaconda.org/bioconda/bioconductor-deseq,,https://hub.docker.com/r/genomicpariscentre/deseq,n,https://bioconductor.org/packages/release/bioc/html/DESeq.html,n,n,Y,"GNU General Public License (GPL), version 3",17725,1181.666667,
ssGSEA2.0,http://doi.org/10.1074/mcp.TIR118.000943,Differential expression,2019,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,1,Y,N,N,https://github.com/broadinstitute/ssGSEA2.0,N,https://github.com/broadinstitute/ssGSEA2.0,,,,,,,https://tinyurl.com/PTM-SEA-GP,N,A BSD style license https://github.com/broadinstitute/ssGSEA2.0?tab=License-1-ov-file,282,47,
NPEBSeq,https://doi.org/10.1186/1471-2105-14-262,Differential expression,2013,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,http://bioinformatics.wistar.upenn.edu/NPEBseq,Y,,,,,,,,,N,N,42,,
DEXUS,10.1093/nar/gkt834,Differential expression,2013,N,N,Y,N,Y,Y,N,N,N,N,N,1,20,0,0,0,0,0.08333333333,1.538461538,0,0,0,0,"1,2,3",Y,Y,Y,https://www.bioinf.jku.at/software/dexus/,Y,n,n,,n,n,https://www.bioconductor.org/packages/devel/bioc/html/dexus.html,n,n,N,N,28,2.333333333,
DESeq2,https://doi.org/10.1186/s13059-014-0550-8,Differential expression,2014,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,0,21,0,0,24,1,0,1.75,0,0,2,0.08333333333,"1,2,3",Y,Y,Y,https://bioconductor.org/packages/release/bioc/html/DESeq2.html,N,,https://anaconda.org/bioconda/bioconductor-deseq2,,https://hub.docker.com/r/nanozoo/deseq2,,https://bioconductor.org/packages/release/bioc/html/DESeq2.html AND https://bioc.r-universe.dev/DESeq2,,,Y,LGPL3,76979,6998.090909,
ReQTL,https://doi.org/10.1101/464206,Differential expression,2018,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.125,"1,3",Y,N,Y,no link in the paper,N,https://github.com/HorvathLab/ReQTL,,,,,,,,Y,No license info,13,1.857142857,
ALONA,10.1093/bioinformatics/btaa269,Differential expression,2020,Y,N,Y,N,N,N,N,Y,N,Y,N,1,0,0,0,0,0,0.2,0,0,0,0,0,"1,2",Y,Y,N,https://alona.panglaodb.se/,Y,https://oscar-franzen.github.io/adobo/,n,,n,n,n,n,n,Y,N,35,7,
Yanagi,https://doi.org/10.1186/s12859-019-2947-6,Differential expression,2019,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,"1,2",Y,Y,N,https://github.com/HCBravoLab/yanagi,N,https://github.com/HCBravoLab/yanagi,N,,N,N,N,N,N,N,MIT,8,1.333333333,
SIBER,10.1093/bioinformatics/bts713,Differential expression,2013,N,N,Y,N,N,N,Y,N,N,N,N,1,0,0,1,0,0,0.08333333333,0,0,0.07692307692,0,0,0,N,N,N,https://bioinformatics.mdanderson.org/main/OOMPA:Overview,Y,n,n,,n,n,n,n,n,Y,N,26,2.166666667,
Fun-LDA,10.1016/j.ajhg.2018.03.026,Differential expression,2018,N,N,Y,N,N,N,Y,N,N,N,N,1,0,0,1,0,0,0.1428571429,0,0,0.125,0,0,0,N,N,N,http://www.funlda.com/,Y,n,n,,n,n,https://cran.r-project.org/web/packages/FUNLDA,n,n,Y,N,85,12.14285714,
DeepSEA,https://doi.org/10.1038/s41588-022-01102-2,Differential expression,2022,N,N,Y,N,Y,N,N,N,N,N,N,0,2,0,0,0,2,0,0.5,0,0,0,0.5,"1,2",Y,Y,N,https://github.com/jzhoulab/orca?tab=License-1-ov-file,N,https://github.com/jzhoulab/orca?tab=License-1-ov-file,https://anaconda.org/imperial-college-research-computing/deepsea,,https://hub.docker.com/search?q=DeepSEA+,n,n,n,n,N,The University of Texas Southwestern Medical Center,134,44.66666667,
BubbleGUM,10.1186/s12864-015-2012-4,Differential expression,2015,Y,N,N,N,N,N,N,N,N,N,N,2,0,0,0,0,0,0.2,0,0,0,0,0,"1,3",Y,N,Y,http://www.ciml.univ-mrs.fr/applications/BubbleGUM/index.html,N,n,n,,n,n,n,http://www.ciml.univ-mrs.fr/applications/BubbleGUM/index.html,n,N,EUPL v.1.1,80,8,
GSVA,https://doi.org/10.1186/1471-2105-14-7,Differential expression,2013,N,N,Y,N,N,Y,N,N,N,Y,Y,0,0,0,0,7,0,0,0,0,0,2,0,"1,2,3",Y,Y,Y,https://www.bioconductor.org/packages/release/bioc/html/GSVA.html,N,https://github.com/rcastelo/GSVA,,,https://biocontainers.pro/tools/bioconductor-gsva,,https://www.bioconductor.org/packages/release/bioc/html/GSVA.html,,,Y,GPL (>= 2),11215,934.5833333,Yes
BaySeq,10.1186/1471-2105-11-422,Differential expression,2010,N,N,Y,N,Y,Y,N,N,N,N,N,0,22,0,0,1,0,0,1.375,0,0,0.0625,0,"1,2,",Y,Y,N,https://www.bioconductor.org/packages/2.6/bioc/html/baySeq.html,N,n,https://anaconda.org/bioconda/bioconductor-bayseq,,n,n,https://www.bioconductor.org/packages/2.6/bioc/html/baySeq.html,n,n,Y,GPL-3,1006,67.06666667,
Limma/Voom,https://doi.org/10.1186/gb-2014-15-2-r29,Differential expression,2014,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,0,34,0,41,42,0,0,2.833333333,0,3.416666667,3.5,0,"1,2,3",Y,Y,Y,-,N,https://github.com/gangwug/limma,https://anaconda.org/bioconda/bioconductor-limma,,https://hub.docker.com/r/lifebitai/limma,,https://bioconductor.org/packages/release/bioc/html/limma.html AND https://cran.r-project.org/src/contrib/Archive/limma/,,https://bioinf.wehi.edu.au/limma/,Y,"GPL2, GPL3",6135,557.7272727,
Ballgown,https://doi.org/10.1038/nbt.3172,Differential expression,2015,N,N,Y,N,Y,Y,N,N,N,N,Y,0,15,0,0,21,0,0,1.363636364,0,0,1.909090909,0,"1,2",Y,Y,N,http://www.bioconductor.org/packages/release/bioc/html/ballgown.html AND https://github.com/alyssafrazee/ballgown,N,https://github.com/alyssafrazee/ballgown,https://anaconda.org/bioconda/bioconductor-ballgown/files,,https://hub.docker.com/r/kapeel/ballgown,,https://bioconductor.org/packages/release/bioc/html/ballgown.html,,,Y,Artistic 2.0,760,76,
vast-tools,https://doi.org/10.1101/gr.220962.117,Differential expression,2017,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,26,0,0,0,0,0,2.888888889,"1,3",Y,N,Y,https://github.com/vastgroup/vast-tools,N,https://github.com/vastgroup/vast-tools,,,https://hub.docker.com/r/vastgroup/vast-tools,,,,,Y,MIT,421,52.625,Yes
Whippet,https://pubmed.ncbi.nlm.nih.gov/30220560,Differential expression,2018,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,31,0,0,0,0,0,3.875,1,Y,N,N,https://github.com/timbitz/Whippet.jl,N,https://github.com/timbitz/Whippet.jl,,,https://hub.docker.com/r/nunoagostinho/whippet,,,,,Y,MIT,178,25.42857143,
Monocle 3,https://doi.org/10.1038/s41586-019-0969-x,Differential expression,2019,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,0,7,0,0,22,9,0,1,0,0,3.142857143,1.285714286,"1,2,3",Y,Y,Y,http://cole-trapnell-lab.github.io/monocle-release/monocle3,N,http://cole-trapnell-lab.github.io/monocle-release/monocle3,https://anaconda.org/bioconda/r-monocle3,,https://biocontainers.pro/tools/r-monocle3,,https://bioconductor.org/packages/release/bioc/html/monocle.html,,,N,MIT License,3320,553.3333333,
Slide-seq,http://doi.org/10.1126/science.aaw1219,Differential expression,2019,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,N,,,
Swish,https://doi.org/10.1093/nar/gkz622,Differential expression,2019,N,N,Y,N,N,Y,N,N,Y,N,N,0,0,0,0,3,1,0,0,0,0,0.4285714286,0.1428571429,"1,2",Y,Y,N,https://github.com/azhu513/swishPaper,N,https://github.com/azhu513/swishPaper,N,,N,N,https://bioconductor.org/packages/release/bioc/html/fishpond.html,https://formulae.brew.sh/cask/swish#default and https://manpages.ubuntu.com/manpages/bionic/man1/,N,Y,GPL-2,107,17.83333333,
GSEA,"https://doi.org/10.1038/ng1180
  https://doi.org/10.1073/pnas.0506580102",Differential expression,2003,N,N,Y,N,Y,N,N,N,N,Y,Y,1,1,0,0,0,17,0.04545454545,0.04347826087,0,0,0,0.7391304348,"1,2",Y,Y,N,,Y,"https://github.com/GSEA-MSigDB/gsea-desktop
  https://github.com/GSEA-MSigDB/GSEA_R",https://anaconda.org/bioconda/GSEA,,https://biocontainers.pro/tools/gsea,,,,https://www.gsea-msigdb.org/gsea/index.jsp,N,https://www.gsea-msigdb.org/gsea/license_terms_list.jsp + BSD3(from Anaconda),61740,2806.363636,
JAFFA,https://doi.org/10.1186/s13073-015-0167-x,Fusion detection,2015,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,N,,,
EricScript,https://doi.org/10.1093/bioinformatics/bts617,Fusion detection,2012,N,N,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,0,20,0,0.07142857143,0,0,0,1.428571429,"1,2",Y,Y,N,http://ericscript.sourceforge.net/,Y,https://sourceforge.net/projects/ericscript/files/,https://anaconda.org/bioconda/EricScript,,https://hub.docker.com/r/cgrlab/ericscript,,,,,Y,GPL v3,214,16.46153846,
Bellerophontes,https://doi.org/10.1093/bioinformatics/bts334,Fusion detection,2012,N,N,Y,N,N,N,N,N,N,Y,N,1,0,0,0,0,0,0.07692307692,0,0,0,0,0,"1,3",Y,N,Y,http://eda.polito.it/bellerophontes/,N,,,,,,,,http://eda.polito.it/bellerophontes/,Y,N,49,3.769230769,
Dissect,https://doi.org/10.1093/bioinformatics/bts214,Fusion detection,2012,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,2,0,0,0,0,0,0.1428571429,,N,N,N,http://dissect-trans.sourceforge.net/,Y,https://web.archive.org/web/20230320233432/https://dissect-trans.sourceforge.net/Home,,,,,,,,N,N,28,2.153846154,
Barnacle,https://doi.org/10.1186/1471-2164-14-550,Fusion detection,2013,N,N,Y,N,N,N,N,N,N,Y,N,4,0,0,0,0,0,0.3333333333,0,0,0,0,0,1,Y,N,N,https://www.bcgsc.ca/resources/software/barnacle,N,,,,,,,,https://www.bcgsc.ca/resources/software/barnacle,Y,BCCA (academic use),18,1.5,
Pegasus,https://doi.org/10.1186/s12918-014-0097-z,Fusion detection,2014,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,3,0,0,0,0,0,0.25,1,Y,N,N,https://sourceforge.net/projects/pegasus-fus/,N,https://sourceforge.net/projects/pegasus-fus/ AND https://github.com/RabadanLab/Pegasus,,,,,,,,Y,MIT,80,7.272727273,
FusionCatcher,https://doi.org/10.1101/011650,Fusion detection,2014,N,N,Y,N,Y,N,N,N,N,Y,Y,0,5,0,0,0,5,0,0.4166666667,0,0,0,0.4166666667,"1,2",Y,Y,N,http://code.google.com/p/fusioncatcher/,N,http://code.google.com/p/fusioncatcher/ directed to https://github.com/ndaniel/fusioncatcher,https://anaconda.org/bioconda/FusionCatcher,,https://hub.docker.com/r/clinicalgenomics/fusioncatcher AND https://hub.docker.com/r/kbearelle/fusioncatcher,,,,,Y,GPL3,431,39.18181818,
BreakFusion,https://doi.org/10.1093/bioinformatics/bts272,Fusion detection,2012,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07692307692,0,0,0,0,0,"1,3",Y,N,Y,https://bioinformatics.mdanderson.org/public-software/breakfusion/,N,,,,,,,,https://bioinformatics.mdanderson.org/public-software/breakfusion/,Y,GPL v3,70,5.384615385,
TRUP,https://doi.org/10.1186/s13059-014-0558-0,Fusion detection,2015,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,https://github.com/ruping/TRUP,N,https://github.com/ruping/TRUP,,,,,,,,Y,No License,66,6.6,
INTEGRATE,https://doi.org/10.1101/gr.186114.114,Fusion detection,2016,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,4,0,0,0,0,0,0.4,"1,3",Y,N,Y,https://sourceforge.net/projects/integrate-fusion/,N,https://sourceforge.net/projects/integrate-fusion/,,,,,,,,Y,GPL3,138,15.33333333,
FusionHunter,https://doi.org/10.1093/bioinformatics/btr265,Fusion detection,2011,N,N,Y,N,N,N,N,N,N,N,N,2,0,0,0,0,0,0.1428571429,0,0,0,0,0,"1,3",Y,N,Y,http://bioen-compbio.bioen.illinois.edu/FusionHunter/,Y,,,,,,,,https://web.archive.org/web/20171115071425/http://bioen-compbio.bioen.illinois.edu/FusionHunter/,N,The GNU General Public License v3.0,122,8.714285714,
FusionQ,https://doi.org/10.1186/1471-2105-14-193,Fusion detection,2013,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,https://www.wakehealth.edu/ctsb/software/software.htm,Y,,,,https://hub.docker.com/r/kbearelle/fusionq,,,,,Y,N,39,3.25,
ChimeraScan,https://doi.org/10.1093/bioinformatics/btr467,Fusion detection,2011,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,8,0,0,0,0,0,0.5333333333,"1,3",Y,N,Y,http://chimerascan.googlecode.com/,Y,https://code.google.com/archive/p/chimerascan/,,,https://hub.docker.com/r/cgrlab/chimerascan,,,,,Y,GNU GPL v3,336,24,
COMRAD,10.1093/bioinformatics/btr184,Fusion detection,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,0,N,N,N,http://compbio.cs.sfu.ca/,Y,n,n,,n,n,n,http://compbio.cs.sfu.ca/,n,N,N/a,38,2.714285714,
deFuse,https://doi.org/10.1371/journal.pcbi.1001138,Fusion detection,2011,N,N,Y,N,Y,N,N,N,N,Y,Y,0,8,0,0,0,20,0,0.5333333333,0,0,0,1.333333333,"1,2,3",Y,Y,Y,http://compbio.bccrc.ca/,Y,"https://sourceforge.net/projects/defuse/
  https://bitbucket.org/dranew/defuse/src/master/
  https://github.com/amcpherson/defuse",https://anaconda.org/dranew/defuse,,https://hub.docker.com/r/defuse/defuse,,,,,Y,Custom(Academic Use): https://github.com/amcpherson/defuse?tab=License-1-ov-file,636,45.42857143,
TopHat-fusion,https://doi.org/10.1186/gb-2011-12-8-r72,Fusion detection,2011,Y,Y,N,N,N,N,N,N,N,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,http://tophat-fusion.sourceforge.net/,Y,,,,,,,,,N,N,926,66.14285714,
FusionAnalyser,10.1093/nar/gks394,Fusion detection,2012,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07692307692,0,0,0,0,0,0,N,N,N,http://www.ilte-cml.org/FusionAnalyser,Y,n,n,,n,n,n,n,n,Y,N/a,31,2.384615385,
SnowShoes-FTD,10.1093/nar/gkr362,Fusion detection,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,0,N,N,N,https://mayoresearch.mayo.edu/mayo/research/biostat/stand-alone-packages.cfm,Y,n,n,,n,n,n,https://mayoresearch.mayo.edu/mayo/research/biostat/stand-alone-packages.cfm,n,N,N/a,95,6.785714286,
FusionFinder,10.1371/journal.pone.0039987,Fusion detection,2012,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,https://www.thekids.org.au/,Y,n,n,,n,n,n,https://www.thekids.org.au/,n,Y,GNU general public license,45,3.461538462,
SOAPFuse,10.1186/gb-2013-14-2-r12,Fusion detection,2013,N,N,Y,N,Y,N,N,N,N,N,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,0,N,N,N,http://soap.genomics.org.cn/soapfuse.html,Y,n,https://anaconda.org/isotex/soapfuse,,n,n,n,n,n,N,MIT,224,18.66666667,
BreakTrans,doi.org/10.1186/gb-2013-14-8-r87,Fusion detection,2013,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,"1,3",Y,N,Y,http://bioinformatics.mdanderson.org/main/BreakTrans,Y,,,,,,,,https://bioinformatics.mdanderson.org/public-software/breaktrans/,Y,GPL3,30,2.5,
INTEGRATE-Vis,https://doi.org/10.1038/s41598-017-18257-2,Fusion detection,2017,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.1111111111,"1,3",Y,N,Y,https://github.com/ChrisMaherLab/INTEGRATE-Vis,N,https://github.com/ChrisMaherLab/INTEGRATE-Vis,,,https://hub.docker.com/r/mjinkm/integrate-vis AND https://hub.docker.com/r/jbwebster/integratevis_docker,,,,,N,No License,12,1.5,
FusionSeq,https://pmc.ncbi.nlm.nih.gov/articles/PMC3218660/,Fusion detection,2010,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.06666666667,0,0,0,0,0,"1,3",Y,N,Y,http://archive.gersteinlab.org/proj/rnaseq/fusionseq/,N,n,n,,https://hub.docker.com/r/brownmp/viralfusionseq,n,n,n,n,Y,n,197,13.13333333,Yes
Fusion Inspector,https://pmc.ncbi.nlm.nih.gov/articles/PMC10261907/,Fusion detection,2023,N,N,Y,N,Y,N,N,N,N,N,N,0,11,0,0,0,29,0,3.666666667,0,0,0,9.666666667,"1,2",Y,Y,N,https://github.com/FusionInspector/FusionInspector,N,https://github.com/FusionInspector/FusionInspector,https://anaconda.org/bioconda/fusion-inspector,,n,n,n,n,n,N,"The Broad Institute, Inc.",24,12,
FusionMap,https://doi.org/10.1093/bioinformatics/btr310,Fusion detection,2011,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,http://www.omicsoft.com/fusionmap,Y,n,n,,n,n,n,http://www.omicsoft.com/fusionmap,n,Y,n,238,17,
PRADA,https://doi.org/10.1093/bioinformatics/btu169,Fusion detection,2014,N,N,Y,N,Y,Y,N,N,N,N,Y,0,8,0,0,18,2,0,0.6666666667,0,0,1.5,0.1666666667,"1,2,3",Y,Y,Y,https://sourceforge.net/projects/prada/,N,https://sourceforge.net/projects/prada/,https://anaconda.org/bioconda/bioconductor-PRADA,,https://hub.docker.com/r/thomasvyu/prada,,https://bioconductor.org/packages//2.10/bioc/html/prada.html,,,Y,LGPL,184,16.72727273,
STAR-Fusion,https://doi.org/10.1186/s13059-019-1842-9,Fusion detection,2019,Y,N,Y,Y,Y,N,N,N,N,Y,Y,40,26,0,0,0,40,6.67,4.3,0,0,0,0,"1,2,3",Y,Y,Y,https://github.com/STAR-Fusion/STAR-Fusion,N,https://github.com/STAR-Fusion/STAR-Fusion,https://anaconda.org/bioconda/star-fusion,,https://hub.docker.com/r/kfdrc/star-fusion,,,,,Y,BSD-3,533,88.83333333,
GeneMark-ET,doi.org/10.1093/bioinformatics/btv661,Gene annotations,2015,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,N,,,
GetUTR,doi.org/10.1016/j.ymeth.2015.04.011,Gene annotations,2015,N,N,Y,N,N,N,N,N,N,N,Y,1,0,0,0,0,1,0.1,0,0,0,0,0.09090909091,"1,3",Y,N,Y,http://big.hanyang.ac.kr/GETUTR/,N,https://github.com/hyubiglab/GETUTR,,,https://hub.docker.com/r/apaeval/getutr,,,,,Y,Creative Commons 1.0,45,4.5,
Prodigal,doi.org/10.1186/1471-2105-11-119,Gene annotations,2010,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,3,2,2,0,0,4,0.2,0.125,0.125,0,0,0.25,"1,2",Y,Y,N,http://compbio.ornl.gov/prodigal/,Y,https://github.com/hyattpd/Prodigal,https://anaconda.org/bioconda/prodigal,,https://biocontainers.pro/tools/prodigal,https://pypi.org/project/prodigal/1.0.2/#files,,https://formulae.brew.sh/formula/prodigal,https://web.archive.org/web/20190413070950/http://compbio.ornl.gov/prodigal/downloads.php,Y,GPL 3+,10730,715.3333333,
CIForm,https://doi.org/10.1093/bib/bbad195,Gene annotations,2023,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/zhanglab-wbgcas/CIForm,N,https://github.com/zhanglab-wbgcas/CIForm,N,,N,N,N,N,N,Y,N,34,17,
ANNOgesic,https://doi.org/10.1093/gigascience/giy096,Gene annotations,2018,N,N,Y,N,N,N,N,Y,N,N,Y,0,0,1,0,0,1,0,0,0.125,0,0,0.125,"1,2,3",Y,Y,Y,https://pypi.org/project/ANNOgesic/,N,https://github.com/Sung-Huan/ANNOgesic/tree/master/tests,N,,https://hub.docker.com/r/silasysh/annogesic/,https://pypi.org/project/ANNOgesic/,N,N,N,N,ISCL (Open source),80,11.42857143,
BRAKER,https://doi.org/10.1093/bioinformatics/btv661,Gene annotations,2016,N,N,Y,N,Y,N,N,N,N,Y,Y,1,0,0,0,0,1,0.1111111111,0,0,0,0,0.1,"1,2,3",Y,Y,Y,https://github.com/Gaius-Augustus/BRAKER,N,https://github.com/Gaius-Augustus/BRAKER,,,https://hub.docker.com/r/teambraker/braker3,N,N,https://github.com/Gaius-Augustus/BRAKER,N,Y,Artistic License,1093,121.4444444,Yes
